Window,Start,End,window_years,coef,se,pval,nobs,treated,clusters,countries
1999-2006,1999,2006,8,0.056379327715986034,0.018271265187329157,0.0020308538411187927,22982,233,129,48
1999-2007,1999,2007,9,0.058679629535676195,0.017035053909631233,0.0005718202454614549,25953,264,141,48
1999-2008,1999,2008,10,0.05377222869531618,0.015803894991032824,0.0006678045788902224,28992,295,153,48
1999-2009,1999,2009,11,0.05025203520945673,0.015636909486608157,0.0013104528270339625,31915,323,171,48
1999-2010,1999,2010,12,0.04670000399299683,0.015128561750250596,0.0020227151321157966,35272,355,186,48
1999-2011,1999,2011,13,0.03289332743727468,0.016566941471559883,0.047091116702946856,38670,387,200,48
1999-2012,1999,2012,14,0.023906457646164128,0.017685177723898285,0.17644591926823838,41996,420,217,48
1999-2013,1999,2013,15,0.02432563811192017,0.01833713653380936,0.1846483858573299,45335,454,229,48
1999-2014,1999,2014,16,0.025925169829032136,0.016826752068715353,0.12338702523409817,49220,488,244,48
1999-2015,1999,2015,17,0.030644166036082186,0.016776490248041273,0.06775788001849946,53155,521,260,48
1999-2016,1999,2016,18,0.032815384063628696,0.01740650152007683,0.05939782148115788,57073,554,270,48
1999-2017,1999,2017,19,0.03219573827503017,0.018315185370180224,0.07876941423732428,61116,586,281,48
1999-2018,1999,2018,20,0.033931894420655834,0.019474935210548196,0.08144954451015753,65146,616,297,48
1999-2019,1999,2019,21,0.03851995104294875,0.020172639772843396,0.05619573453643508,69145,641,318,48
2000-2007,2000,2007,8,0.05599450742182811,0.018045235881793097,0.0019156460115167023,23125,236,130,48
2000-2008,2000,2008,9,0.04994119964342273,0.016089414983247206,0.0019093714704701641,26164,267,142,48
2000-2009,2000,2009,10,0.047103515238954605,0.015863691603682662,0.0029851236806841402,29087,295,160,48
2000-2010,2000,2010,11,0.04308725679288064,0.015368500691470941,0.005053425019096932,32444,327,175,48
2000-2011,2000,2011,12,0.028125411773371883,0.016797933608578664,0.09406426966765673,35842,359,189,48
2000-2012,2000,2012,13,0.018871750169357628,0.017839738007457317,0.2901242597875956,39168,392,206,48
2000-2013,2000,2013,14,0.020417627731345072,0.01843197580580362,0.26797902100516136,42507,426,218,48
2000-2014,2000,2014,15,0.022654812504422424,0.01687158620384738,0.17934352884398042,46392,460,233,48
