country_code,year,total_resource_rents_gdp,oil_rents_gdp,mineral_rents_gdp
CMR,1993,5.29907362885666,3.08798938410601,0.0
CMR,1994,8.65495242504441,3.96666682607101,0.0
CMR,1995,8.98379335404863,3.7645468556202,0.010297915241149
CMR,1996,9.19379916300563,4.21594793357001,0.0323695377209902
CMR,1997,8.90970986050162,4.60078884361968,0.0202518036215724
CMR,1998,5.51531751570534,2.051675402548,0.0154146966487109
CMR,1999,5.15124734114853,2.7393088165397,0.0107622058372603
CMR,2000,8.33574817486337,5.65350106318017,0.0193819949111035
CMR,2001,5.68439536844397,3.59717199204675,0.0184512221716903
CMR,2002,5.27982808459118,3.05284107934737,0.0209055571751343
CMR,2003,5.0826805069134,2.31676395154355,0.00824392638455723
CMR,2004,4.73178788679167,2.75939445890458,0.0100498206680563
CMR,2005,7.39166566634719,5.28439433394488,0.0149995961676798
CMR,2006,8.54390800832229,6.18342969188823,0.039115141119154
CMR,2007,8.98192175035093,6.03958891829607,0.0390110756046046
CMR,2008,10.0769277835546,7.12107584128101,0.0441662425191704
CMR,2009,5.82385438485316,3.18641938368574,0.0619603414591366
CMR,2010,6.92041886170631,4.14191421736693,0.0721667406406687
CMR,2011,8.16416608406496,5.25804310748538,0.107504320036144
CMR,2012,8.40581417479506,5.26170344833076,0.095786445422802
CMR,2013,7.33302882488587,4.19597685270569,0.0615594112069462
CMR,2014,7.03590731300358,3.67835628658685,0.0436954410837232
CMR,2015,5.63563339959601,1.89664344480798,0.0446758359983917
CMR,2016,5.36737216526029,1.55546940126434,0.0547069367728853
CMR,2017,6.08352640758934,2.19707562839754,0.0415320830954527
CMR,2018,6.10463986256462,2.78430133697793,0.0
CMR,2019,5.55584424286198,2.42269397588966,0.0
CMR,2020,4.34202268521826,1.28058779283346,0.0
CMR,2021,5.52598268395679,2.36159953238547,0.0
CMR,2022,,,
CMR,2023,,,
CMR,2024,,,
CMR,2025,,,
COD,1960,,,
COD,1961,,,
COD,1962,,,
COD,1963,,,
COD,1964,,,
COD,1965,,,
COD,1966,,,
COD,1967,,,
COD,1968,,,
COD,1969,,,
COD,1970,11.5046853227158,,8.92290452712947
COD,1971,7.72327726191126,0.0,5.67927166173065
COD,1972,7.43392562272526,0.0,5.22896995914273
COD,1973,11.9960503859177,0.0,9.19374863024914
COD,1974,11.6583916855696,0.0,9.00307897741882
COD,1975,6.71984207250208,0.00167216263987805,3.4187623218039
COD,1976,8.1737053449497,0.73175808205292,4.15862447212194
COD,1977,7.88149912064675,0.646473546532972,2.7257164479727
COD,1978,6.42880460245793,0.371763445844138,2.17366126841336
COD,1979,8.436072055967,1.16243208437868,3.36583589799015
COD,1980,10.6395169208555,0.972185772178855,4.59485727038497
COD,1981,9.82072833832507,0.748745254525893,3.88671609515526
COD,1982,9.63848872576461,0.293930091965501,2.63800251670225
COD,1983,10.6597698511749,0.83527905758779,4.12582677794153
COD,1984,13.4416318491215,1.72331982799581,4.35099053360733
COD,1985,13.2611891160138,2.14537157884134,4.86822180497709
COD,1986,12.7478537069267,0.635779190957398,3.33834114026698
COD,1987,16.4658779391934,1.38967425377524,5.8719526472672
COD,1988,19.3538876984561,0.926352686963646,9.53234841633837
COD,1989,20.3570439094778,1.46454484550055,9.72711361193236
COD,1990,20.0654594433289,2.06738083913538,6.59796069695133
COD,1991,13.3310087682815,1.0194588751419,1.0138162501562
COD,1992,15.849972288394,1.18085978623998,0.495761075956426
COD,1993,10.7154645334115,0.83847770505667,0.142035110748043
COD,1994,23.5633733588919,1.38193909888382,0.275094631434153
COD,1995,36.2921410617751,1.80440473026036,0.365253823097639
COD,1996,36.2990334122152,2.19515258214803,0.301368882318591
COD,1997,32.2278074977846,1.8203081208374,0.196892316502676
