Window,Start,End,window_years,coef,se,pval,nobs,treated,clusters
1993-2011,1993,2011,19,0.015986053186946722,0.005541734137655013,0.003918288672083854,823931,2171,2367
1993-2012,1993,2012,20,0.015559844170726422,0.0055534586513468175,0.0050813723947282785,868693,2291,2484
1993-2013,1993,2013,21,0.015539485630988642,0.005569782385558876,0.005271409873279103,913460,2412,2599
1993-2014,1993,2014,22,0.014244449169476857,0.005534485578529202,0.010059942159828484,958444,2533,2722
1993-2015,1993,2015,23,0.01281310486026617,0.00569376603633525,0.024425193874693663,1003382,2654,2836
1993-2016,1993,2016,24,0.011553943449273966,0.005903638726205717,0.050337064452333394,1048234,2773,2932
1993-2017,1993,2017,25,0.010356472341534861,0.006059754762313431,0.0874402068001558,1094178,2877,3051
1993-2018,1993,2018,26,0.010166388250102222,0.006244741034980055,0.10352658878262545,1140203,2969,3184
1993-2019,1993,2019,27,0.011878217370541302,0.006417599031342064,0.06418655683044099,1186223,3045,3336
1994-2001,1994,2001,8,-0.00031147646288565796,0.006207866768898685,0.9599833510426388,343146,890,1059
1994-2002,1994,2002,9,0.001122762176256052,0.006439507206412991,0.861586245830393,385675,1000,1167
1994-2003,1994,2003,10,0.0013884963214782463,0.006099013802441607,0.8199112291037842,429056,1118,1278
1994-2004,1994,2004,11,0.004196437098636426,0.006033612777145103,0.48673584243163426,473231,1235,1396
1994-2005,1994,2005,12,0.009964273423326318,0.005831107158481816,0.08748553966743516,517199,1350,1518
1994-2006,1994,2006,13,0.014018536209659416,0.005796549581583226,0.015587741905779865,560786,1467,1638
1994-2007,1994,2007,14,0.016465980975999005,0.0056692451750646414,0.0036791102006071123,605011,1585,1755
1994-2008,1994,2008,15,0.017438413107685326,0.005561258435740859,0.0017144710803514381,649025,1707,1870
1994-2009,1994,2009,16,0.01784200550410292,0.005371022133616823,0.0008940630800090069,692260,1823,1995
1994-2010,1994,2010,17,0.018944877333038797,0.005343965596761617,0.0003924683693650414,737310,1942,2117
1994-2011,1994,2011,18,0.018802802274494625,0.005424302146220623,0.0005274774321915212,782338,2062,2240
1994-2012,1994,2012,19,0.018176137480104534,0.00546333774689241,0.0008780870331766777,827100,2182,2357
1994-2013,1994,2013,20,0.01795491009734242,0.0054943584438227906,0.0010835587741683435,871867,2303,2472
1994-2014,1994,2014,21,0.016536531498137937,0.005460173111113347,0.002457119080747674,916851,2424,2595
1994-2015,1994,2015,22,0.014956538955262765,0.005649083845994982,0.008106433755217399,961789,2545,2709
1994-2016,1994,2016,23,0.013654300452136049,0.005885134771440272,0.020333637160591465,1006641,2664,2805
1994-2017,1994,2017,24,0.01234942082548458,0.006066597124883609,0.0417863018440347,1052585,2768,2924
1994-2018,1994,2018,25,0.01216516959378166,0.006269869449858931,0.05234824148435113,1098610,2860,3057
1994-2019,1994,2019,26,0.013960675521735013,0.006450735503639191,0.03044907768909546,1144630,2936,3209
1995-2002,1995,2002,8,0.0029674768139528775,0.0061884567422982985,0.6315701184697878,343796,893,1053
1995-2003,1995,2003,9,0.003202452212457766,0.0057513219469581805,0.5776502839509717,387177,1011,1164
1995-2004,1995,2004,10,0.00637368421868172,0.0056369611882504545,0.2581834575768286,431352,1128,1282
1995-2005,1995,2005,11,0.012329075034231154,0.0054270910940260285,0.023100714167796854,475320,1243,1404
1995-2006,1995,2006,12,0.01636798467420662,0.005442583360085329,0.0026349925465879776,518907,1360,1524
1995-2007,1995,2007,13,0.01843242914708427,0.00531627128491066,0.0005259644046098189,563132,1478,1641
1995-2008,1995,2008,14,0.019156700449399044,0.005228844047716372,0.00024863795771319956,607146,1600,1756
1995-2009,1995,2009,15,0.019338039792154874,0.005040970123924229,0.00012496575846732938,650381,1716,1881
1995-2010,1995,2010,16,0.020235447811977104,0.00503563861252916,5.858293629263145e-05,695431,1835,2003
1995-2011,1995,2011,17,0.0199180292319632,0.005158227459028345,0.00011273470629675238,740459,1955,2126
1995-2012,1995,2012,18,0.019080922471922283,0.0052375329160527645,0.00026936087108811365,785221,2075,2243
1995-2013,1995,2013,19,0.018740771587569503,0.005293049323488918,0.00039916082500384814,829988,2196,2358
1995-2014,1995,2014,20,0.01729837027345296,0.00526104524895464,0.001008981952472206,874972,2317,2481
1995-2015,1995,2015,21,0.015699614276857794,0.005487779065141038,0.00422530812721061,919910,2438,2595
1995-2016,1995,2016,22,0.01442969727860682,0.0057600901076774865,0.012241103562125186,964762,2557,2691
1995-2017,1995,2017,23,0.013075553480706634,0.005972039330931719,0.028563273899716843,1010706,2661,2810
1995-2018,1995,2018,24,0.012904232049214214,0.006195943900269797,0.0372794652957421,1056731,2753,2943
1995-2019,1995,2019,25,0.014785630218056366,0.006386359875489852,0.020602590266663303,1102751,2829,3095
1996-2003,1996,2003,8,0.0041944227916003475,0.005695539894338832,0.46146303424794577,344796,904,1044
1996-2004,1996,2004,9,0.0075716560302027044,0.0055339032995373825,0.17123989495956082,388971,1021,1162
1996-2005,1996,2005,10,0.013672871469651536,0.005377943532882158,0.011009481244417738,432939,1136,1284
1996-2006,1996,2006,11,0.017576728238314968,0.005446559358279509,0.0012504079271473943,476526,1253,1404
1996-2007,1996,2007,12,0.019347529755845295,0.005313440301817795,0.0002713244030573573,520751,1371,1521
1996-2008,1996,2008,13,0.01973496495610777,0.005239802893524104,0.00016564731250331093,564765,1493,1636
1996-2009,1996,2009,14,0.01974630212604249,0.0050412088003366625,8.966606366780947e-05,608000,1609,1761
1996-2010,1996,2010,15,0.020531243656857764,0.005053328560364977,4.84637116393159e-05,653050,1728,1883
1996-2011,1996,2011,16,0.02000568841883859,0.00519837046417258,0.00011886572198922564,698078,1848,2006
1996-2012,1996,2012,17,0.018898499721626626,0.005303400690696682,0.0003659870475141485,742840,1968,2123
1996-2013,1996,2013,18,0.018465507939177662,0.005371570395421298,0.0005868142707510352,787607,2089,2238
1996-2014,1996,2014,19,0.01699478677805969,0.005338217418525321,0.0014545230297352287,832591,2210,2361
1996-2015,1996,2015,20,0.015413111238818934,0.00559497547928113,0.005872568745357898,877529,2331,2475
1996-2016,1996,2016,21,0.01420506683284882,0.00589835938216251,0.016026648227798902,922381,2450,2571
1996-2017,1996,2017,22,0.012837631190834805,0.006131672606472922,0.03629037275544586,968325,2554,2690
1996-2018,1996,2018,23,0.012739496763601494,0.006367004374550743,0.04540726948255174,1014350,2646,2823
1996-2019,1996,2019,24,0.014754647919318655,0.0065626017768616995,0.024557548881793262,1060370,2722,2975
1997-2004,1997,2004,8,0.009081919773451312,0.005386396352302413,0.09177951166275582,346203,915,1039
1997-2005,1997,2005,9,0.014917116175679555,0.005322159852191806,0.005065616005073008,390171,1030,1161
1997-2006,1997,2006,10,0.018555258602511903,0.0055327062039863106,0.0007972721325044758,433758,1147,1281
1997-2007,1997,2007,11,0.019950240698193917,0.005406507343853801,0.0002242167814083715,477983,1265,1398
1997-2008,1997,2008,12,0.019803023013489553,0.005343615399192042,0.0002106229389099299,521997,1387,1513
1997-2009,1997,2009,13,0.019594581065311107,0.005115510209633726,0.0001279218287123304,565232,1503,1638
1997-2010,1997,2010,14,0.020228052533658808,0.005135821078390579,8.195127718254473e-05,610282,1622,1760
1997-2011,1997,2011,15,0.019471453786486324,0.005291433983670496,0.00023341089040946223,655310,1742,1883
1997-2012,1997,2012,16,0.018041017352191217,0.005400341052493834,0.0008356200613285723,700072,1862,2000
1997-2013,1997,2013,17,0.017538704715712162,0.005457873576824176,0.0013114219055294335,744839,1983,2115
1997-2014,1997,2014,18,0.01608586963865947,0.005420267389396823,0.0030001142610438,789823,2104,2238
1997-2015,1997,2015,19,0.014540324151795674,0.005704896285179779,0.010811141278036467,834761,2225,2352
1997-2016,1997,2016,20,0.013418266191336254,0.006038618981139692,0.02627821600209773,879613,2344,2448
1997-2017,1997,2017,21,0.012039535029613054,0.006289844445399631,0.05560445942471879,925557,2448,2567
1997-2018,1997,2018,22,0.012024637511208433,0.006533146957436205,0.06568632113876155,971582,2540,2700
