Window,Start,End,window_years,coef,se,pval,nobs,treated,clusters
2000–2010,2000,2010,11,0.014788547045822675,0.005653161899909389,0.008897538570031838,481103,1286,1404
2000–2011,2000,2011,12,0.013198958444578652,0.005753243747059557,0.021780776492451137,526131,1406,1527
2000–2012,2000,2012,13,0.011453127858659307,0.005803513545314386,0.04844123289606639,570893,1526,1644
2000–2013,2000,2013,14,0.011022864973804095,0.005768040880619788,0.05600199197831657,615660,1647,1759
2001–2008,2001,2008,8,0.014764865736293653,0.006445594180196803,0.021981967025684224,349319,935,1043
2001–2009,2001,2009,9,0.014505886344589993,0.0059006475965063185,0.01395800190272567,392554,1051,1168
2001–2010,2001,2010,10,0.015076427292360419,0.0058248368890913204,0.009645442772219459,437604,1170,1290
2001–2011,2001,2011,11,0.012973140635934468,0.005794344391622836,0.02516087316782878,482632,1290,1413
2001–2012,2001,2012,12,0.01098176065604054,0.005733361063247712,0.05544030917014031,527394,1410,1530
2001–2013,2001,2013,13,0.010634288309885356,0.005614747729806956,0.05822659889850468,572161,1531,1645
2002–2009,2002,2009,8,0.014697326585641268,0.0058456449011873935,0.011929598445024503,349114,933,1056
2002–2010,2002,2010,9,0.014894985622385516,0.005832796830195949,0.010660123914713715,394164,1052,1178
2002–2011,2002,2011,10,0.011959275392912114,0.005740478332797665,0.03722236302303128,439192,1172,1301
2002–2012,2002,2012,11,0.009602231991658234,0.005614278648766891,0.08720680487698718,483954,1292,1418
2002–2013,2002,2013,12,0.009213686101417824,0.005414383849427554,0.08881126028214825,528721,1413,1533
2003–2010,2003,2010,8,0.012293939339833809,0.005760046568953226,0.03281516706299037,351635,942,1071
2003–2011,2003,2011,9,0.008974879948976153,0.00564749945403255,0.11202119645462272,396663,1062,1194
2003–2012,2003,2012,10,0.006287981530466195,0.00553067104313886,0.2555685679500259,441425,1182,1311
2003–2013,2003,2013,11,0.006063763670567579,0.005284480264274283,0.25118952988745846,486192,1303,1426
2004–2011,2004,2011,8,0.0071558202198676165,0.005965677286127029,0.23033514625329254,353282,944,1077
2004–2012,2004,2012,9,0.0036297946297643743,0.005716864814742018,0.5254761221152522,398044,1064,1194
2004–2013,2004,2013,10,0.0033642544254327673,0.005351088466241854,0.5295427700782978,442811,1185,1309
2005–2012,2005,2012,8,0.0023974834539824555,0.006385065245671105,0.7073015474482349,353869,947,1071
2005–2013,2005,2013,9,0.0017228827818634293,0.005849130934794641,0.7683350593703147,398636,1068,1186
2006–2013,2006,2013,8,0.0006259422500908258,0.005718408255110653,0.9128369854087657,354668,953,1066
